"person_id","name","total_years","seniority_level","skills_detected","skill_count"
"R_1",NA,16,"Lead","java, javascript, go, r, shell scripting, html, html5, css, css3, xml, ajax, rest, soap, angular, angularjs, node, jquery, ember, spring, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, db2, aws, s3, jenkins, git, github, svn, junit, cucumber, mockito, maven, gradle, ant, crystal reports, jasper reports, pentaho, agile, waterfall, soa, linux, unix, windows, solaris, aix, jira, excel, visio, etl, ssis, jersey",65
"R_2",NA,NA,"Unknown","java, python, javascript, c\+\+, scala, groovy, go, r, html, html5, css, css3, xml, json, ajax, rest, soap, angular, angularjs, node, nodejs, express, jquery, ember, dojo, spring, spring boot, spring mvc, spring security, hibernate, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, aws, google cloud, ec2, s3, lambda, cloud foundry, docker, jenkins, git, github, svn, junit, mockito, maven, gradle, ant, agile, soa, linux, unix, windows, jira, excel, visio, soapui, soap ui, apache cxf, jersey",73
"R_3",NA,16,"Lead","scala, go, r, less, ember, ant, agile, scrum, waterfall, soa, excel, visio",12
"R_4",NA,NA,"Unknown","java, go, r, less, soap, ember, oracle, ant, storm, agile, scrum, kanban, waterfall, tdd, soa, windows, jira, confluence, ms office, excel, visio, soapui, etl, informatica, ssis, data warehouse",26
"R_5",NA,16,"Lead","java, c\+\+, scala, go, r, less, xml, rest, soap, ember, sql, oracle, jenkins, git, github, svn, junit, testng, selenium, maven, ant, storm, crystal reports, agile, scrum, kanban, waterfall, tdd, soa, unix, windows, jira, excel, visio, soapui, ios, etl, ssis, data warehouse, soap ui",40
"R_6",NA,9,"Lead","java, javascript, c#, go, r, html, css, less, xml, json, rest, soap, ember, sql, mysql, oracle, sql server, azure, selenium, ant, hadoop, storm, tableau, cognos, agile, scrum, kanban, waterfall, soa, windows, mac os, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, olap, oltp, soap ui",43
"R_7",NA,9,"Lead","java, javascript, c#, go, r, html, css, less, xml, json, rest, soap, ember, sql, mysql, oracle, sql server, azure, selenium, ant, hadoop, storm, tableau, cognos, agile, scrum, kanban, waterfall, soa, windows, mac os, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, olap, oltp, soap ui",43
"R_8",NA,8,"Lead","java, python, javascript, scala, groovy, go, ruby, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, vue, node, nodejs, express, jquery, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, db2, aws, ec2, s3, lambda, heroku, docker, jenkins, git, github, svn, junit, selenium, mockito, maven, gradle, ant, agile, waterfall, ci/cd, microservices, soa, rest api, linux, unix, windows, jira, excel, postman, splunk, soap ui, apache cxf, jersey",79
"R_9",NA,16,"Lead","java, javascript, go, perl, r, html, html5, css, less, xml, ajax, rest, soap, angular, express, jquery, ember, jsp, servlet, sql, oracle, sql server, db2, aws, ec2, s3, git, selenium, cucumber, ant, storm, tableau, power bi, cognos, ssrs, agile, scrum, waterfall, soa, windows, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, data warehouse, olap, oltp, soap ui",53
"R_10",NA,11,"Lead","scala, go, r, xml, rest, ember, sql, oracle, sql server, teradata, git, ant, storm, agile, scrum, waterfall, jira, confluence, excel, visio, android, ios, ssis, jersey",24
"R_11",NA,12,"Lead","java, go, r, html, xml, ember, sql, oracle, sql server, db2, ant, agile, scrum, waterfall, tdd, windows, ms office, excel, visio, ios, etl, ssis, data warehouse",23
"R_12",NA,17,"Lead","java, javascript, scala, groovy, go, php, r, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, backbone, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, mybatis, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, aws, ec2, s3, lambda, cloud foundry, heroku, docker, kubernetes, jenkins, bamboo, git, github, svn, clearcase, junit, testng, selenium, jasmine, mockito, karma, maven, gradle, ant, gulp, grunt, npm, pig, kafka, aem, adobe experience manager, agile, scrum, tdd, microservices, soa, linux, windows, jira, visio, postman, soapui, splunk, cordova, ssis, soap ui, mule esb, jersey",96
"R_13",NA,11,"Lead","java, javascript, c\+\+, go, perl, ruby, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, nodejs, express, jquery, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, oracle, sql server, mongodb, cassandra, db2, aws, azure, ec2, s3, docker, kubernetes, jenkins, puppet, chef, terraform, bamboo, git, github, svn, clearcase, junit, testng, selenium, jasmine, mockito, karma, maven, gradle, ant, agile, scrum, waterfall, tdd, bdd, microservices, soa, rest api, linux, unix, windows, jira, excel, visio, postman, ssis, soap ui, apache cxf, jersey",86
"R_14",NA,20,"Lead","scala, go, perl, r, html, html5, css, css3, rest, ember, sql, oracle, sql server, s3, ant, ssrs, agile, scrum, waterfall, ms office, excel, visio, ios, ssis, data warehouse, olap, jersey",27
"R_15",NA,16,"Lead","java, javascript, c\+\+, go, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, nodejs, jquery, backbone, ember, extjs, dojo, spring, spring boot, spring mvc, hibernate, struts, jsf, ejb, jsp, servlet, sql, mysql, oracle, sql server, mongodb, elasticsearch, db2, s3, jenkins, git, github, svn, bitbucket, junit, maven, ant, agile, scrum, ci/cd, soa, linux, unix, windows, red hat, solaris, visio, postman, soap ui",63
"R_16",NA,10,"Lead","java, go, r, html, less, xml, rest, ember, sql, mongodb, hbase, db2, s3, svn, ant, hadoop, hive, pig, hbase, agile, scrum, waterfall, linux, windows, excel, visio",26
"R_17",NA,9,"Lead","java, javascript, typescript, c\+\+, scala, groovy, go, php, perl, r, html, html5, css, css3, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, elasticsearch, db2, s3, lambda, docker, jenkins, chef, git, github, svn, junit, selenium, mockito, protractor, maven, ant, spark, kafka, agile, scrum, kanban, waterfall, microservices, soa, rest api, linux, unix, windows, centos, jira, excel, postman, apache cxf, jersey",78
"R_18",NA,11,"Lead","java, scala, go, r, rest, ember, ant, agile, scrum, waterfall, jira, confluence, visio, etl",14
"R_19",NA,3,"Mid","java, c\+\+, c#, go, perl, r, html, xml, soap, ember, spring, sql, oracle, sql server, clearcase, ant, ssrs, agile, soa, linux, unix, windows, jira, ms office, excel, visio, ios, etl, ssis",29
"R_20",NA,7,"Senior","java, javascript, scala, go, r, shell scripting, html, html5, css, css3, sass, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, express, jquery, backbone, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, aws, ec2, s3, docker, jenkins, git, github, svn, junit, selenium, cucumber, jasmine, mockito, protractor, karma, maven, gradle, ant, gulp, grunt, npm, agile, scrum, tdd, soa, rest api, linux, unix, windows, jira, excel, visio, ios, ssis, mule esb, apache cxf, jersey",83
"R_21",NA,16,"Lead","java, javascript, go, r, html, html5, css, css3, xml, ajax, rest, soap, node, ember, sql, mysql, oracle, sql server, s3, ant, tableau, cognos, crystal reports, agile, scrum, kanban, waterfall, soa, windows, mac os, jira, ms office, excel, visio, ios, etl, informatica, ssis, data warehouse, olap, oltp",41
"R_22",NA,16,"Lead","java, python, javascript, c\+\+, c#, scala, go, perl, r, shell scripting, html, css, xml, soap, ember, spring, jsp, servlet, sql, mysql, oracle, sql server, hbase, db2, teradata, aws, azure, s3, jenkins, terraform, git, github, clearcase, junit, maven, yarn, hadoop, spark, hive, pig, kafka, hbase, mapreduce, yarn, sqoop, flume, agile, scrum, kanban, waterfall, tdd, soa, linux, unix, windows, ubuntu, red hat, solaris, jira, confluence, excel, visio, soapui, etl, informatica, ssis",66
"R_23",NA,11,"Lead","java, go, swift, r, html, less, xml, rest, sql, oracle, sql server, teradata, aws, clearcase, ant, tableau, crystal reports, agile, scrum, waterfall, unix, jira, ms office, excel, visio, ios, etl, ssis, data warehouse, olap",30
"R_24",NA,15,"Lead","java, javascript, scala, go, r, html, ember, sql, oracle, ant, ssrs, joomla, agile, scrum, waterfall, linux, unix, windows, jira, ms office, excel, visio, etl, ssis, data warehouse, olap",26
"R_25",NA,7,"Senior","java, scala, go, r, html, ember, sql, mysql, oracle, sql server, git, selenium, ant, tableau, cognos, crystal reports, microstrategy, agile, scrum, waterfall, jira, confluence, ms office, excel, visio, ios, etl, informatica, ssis, olap, oltp",31
"R_26",NA,16,"Lead","java, c\+\+, scala, go, r, html, xml, rest, soap, sql, mysql, oracle, sql server, db2, ant, crystal reports, agile, scrum, waterfall, soa, linux, unix, windows, jira, ms office, excel, visio, soapui, ios, etl, informatica, ssis, data warehouse",33
"R_27",NA,20,"Lead","java, javascript, c\+\+, c#, go, r, vb\.net, html, less, xml, ajax, rest, soap, express, ember, jsp, servlet, sql, mysql, oracle, sql server, mongodb, cassandra, hbase, teradata, s3, ant, hadoop, hive, pig, kafka, hbase, mapreduce, sqoop, flume, ssrs, crystal reports, agile, scrum, soa, linux, jira, visio, etl, ssis, data warehouse, oltp",47
"R_28",NA,11,"Lead","java, javascript, go, r, html, css, less, xml, ajax, rest, angular, angularjs, node, nodejs, express, spring, spring boot, spring mvc, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, oracle, cassandra, aws, ec2, s3, jenkins, git, svn, junit, testng, mocha, mockito, maven, gradle, ant, kafka, agile, scrum, microservices, soa, linux, unix, windows, solaris, aix, jira, visio, ssis, apache cxf",56
"R_29",NA,3,"Mid","java, python, javascript, scala, go, r, html, html5, css, xml, json, ajax, rest, soap, express, spring, spring mvc, hibernate, jpa, struts, jsf, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, hbase, db2, teradata, aws, ec2, s3, git, github, svn, junit, maven, ant, yarn, hadoop, spark, hive, pig, kafka, hbase, mapreduce, yarn, sqoop, flume, tableau, agile, soa, linux, unix, windows, jira, excel, visio, splunk, etl, talend, data warehouse",66
"R_30",NA,10,"Lead","go, r, rest, ember, sql, oracle, ant, tableau, cognos, soa, ms office, excel, ssis, jersey",14
"R_31",NA,12,"Lead","go, r, xml, ember, sql, oracle, sql server, ant, storm, agile, scrum, waterfall, unix, windows, ms office, excel, visio, ios, ssis",19
"R_32",NA,16,"Lead","java, python, go, r, html, xml, rest, soap, ember, sql, oracle, sql server, aws, ant, hive, storm, tableau, power bi, qlikview, ssrs, agile, waterfall, soa, unix, windows, jira, confluence, ms office, excel, visio, ios, ssis, data warehouse",33
"R_33",NA,6,"Senior","java, c\+\+, scala, go, r, html, ember, ejb, jsp, bottle, sql, oracle, sql server, ant, storm, cognos, ssrs, crystal reports, agile, scrum, kanban, waterfall, unix, windows, jira, ms office, excel, visio, ios, nlp, etl, informatica, ssis, data warehouse",34
"R_34",NA,16,"Lead","java, go, php, r, html, html5, css, sql, mysql, sql server, ant, cognos, agile, scrum, waterfall, linux, windows, jira, ms office, excel, visio, android, ios",23
"R_35",NA,8,"Lead","java, python, javascript, c\+\+, scala, groovy, go, php, perl, r, html, html5, css, css3, sass, less, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, backbone, extjs, dojo, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, oracle, sql server, mongodb, cassandra, dynamodb, couchdb, db2, aws, ec2, s3, lambda, heroku, docker, jenkins, git, github, svn, junit, selenium, mockito, maven, gradle, ant, grunt, npm, kafka, tableau, magento, agile, scrum, devops, tdd, microservices, soa, rest api, linux, unix, windows, jira, visio, splunk, ssis, soap ui, apache cxf, jersey",90
"R_36",NA,7,"Senior","java, javascript, go, r, html, css, xml, json, ajax, rest, soap, angular, angularjs, node, jquery, backbone, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, bottle, sql, mysql, oracle, sql server, mongodb, cassandra, db2, aws, jenkins, git, junit, mockito, maven, ant, storm, jasper reports, agile, scrum, waterfall, tdd, microservices, soa, linux, unix, windows, mac os, solaris, jira, excel, ssis, jersey",59
"R_37",NA,13,"Lead","java, javascript, c\+\+, c#, scala, go, r, bash, xml, rest, soap, vue, sql, oracle, sql server, ant, agile, scrum, waterfall, soa, windows, jira, soap ui",23
"R_38",NA,8,"Lead","java, python, javascript, c\+\+, c#, go, php, ruby, r, html, html5, css, css3, less, xml, ajax, rest, soap, react, angular, angularjs, node, express, jquery, backbone, extjs, dojo, spring, spring mvc, hibernate, jpa, struts, jsf, ejb, jsp, servlet, zend, sql, mysql, postgresql, oracle, sql server, cassandra, db2, azure, ec2, s3, lambda, jenkins, git, github, svn, mercurial, clearcase, junit, selenium, maven, ant, grunt, npm, hadoop, storm, cognos, drupal, wordpress, agile, scrum, waterfall, tdd, soa, linux, unix, windows, aix, jira, excel, visio, soapui, olap, soap ui, apache cxf",81
"R_39",NA,117,"Lead","scala, go, php, perl, r, xml, rest, ember, sql, oracle, sql server, aws, ant, agile, scrum, waterfall, linux, windows, solaris, aix, jira, confluence, data warehouse, olap, oltp",25
"R_40",NA,21,"Lead","scala, go, php, r, less, xml, rest, node, ember, sql, oracle, sql server, ant, agile, waterfall, linux, windows, solaris, aix, excel, data warehouse, olap, oltp",23
"R_41",NA,8,"Lead","java, python, javascript, c\+\+, c#, go, php, ruby, r, html, html5, css, css3, less, xml, ajax, rest, soap, react, angular, angularjs, node, express, jquery, backbone, extjs, dojo, spring, spring mvc, hibernate, jpa, struts, jsf, ejb, jsp, servlet, zend, sql, mysql, postgresql, oracle, sql server, cassandra, db2, azure, ec2, s3, lambda, jenkins, git, github, svn, mercurial, clearcase, junit, selenium, maven, ant, grunt, npm, hadoop, storm, cognos, drupal, wordpress, agile, scrum, waterfall, tdd, soa, linux, unix, windows, aix, jira, excel, visio, soapui, olap, soap ui, apache cxf",81
"R_42",NA,7,"Senior","java, go, r, xml, sql, sql server, clearcase, agile, scrum, soa, unix, windows, jira, ms office, excel, visio, ios, ssis",18
"R_43",NA,16,"Lead","java, javascript, c\+\+, go, swift, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, express, jquery, spring, spring mvc, hibernate, struts, jsf, ejb, jsp, servlet, sql, mysql, oracle, sql server, mongodb, db2, aws, s3, git, svn, junit, maven, ant, spark, agile, scrum, devops, tdd, soa, linux, unix, windows, solaris, excel, visio, ssis, soap ui",58
"R_44",NA,21,"Lead","r, git, ant",3
"R_45",NA,11,"Lead","scala, go, perl, r, ant, agile, scrum, windows, ssis",9
"R_46",NA,5,"Senior","java, c\+\+, r, xml, rest, soap, express, ember, sql, oracle, svn, testng, selenium, maven, agile, scrum, waterfall, soa, linux, windows, jira, ms office, excel, postman, android, ios, soap ui",27
"R_47",NA,11,"Lead","go, r, sql, oracle, db2, teradata, s3, ant, agile, scrum, windows, mac os, jira, excel, visio, ssis, data warehouse",17
"R_48",NA,17,"Lead","java, python, javascript, typescript, c\+\+, scala, groovy, go, ruby, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, backbone, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, db2, aws, ec2, s3, lambda, docker, jenkins, git, github, svn, junit, mockito, maven, ant, agile, scrum, waterfall, ci/cd, tdd, bdd, microservices, soa, rest api, linux, unix, windows, jira, slack, ms office, excel, visio, soap ui, jersey",81
"R_49",NA,15,"Lead","java, go, r, html, css, xml, rest, soap, angular, express, ember, ejb, jsp, sql, oracle, sql server, db2, jenkins, git, selenium, ant, cognos, ssrs, agile, scrum, kanban, waterfall, devops, ci/cd, soa, windows, jira, confluence, excel, android, ios, informatica, ssis, data warehouse, soap ui",40
"R_50",NA,8,"Lead","java, javascript, scala, go, r, html, xml, ember, sql, oracle, sql server, db2, selenium, ant, agile, scrum, waterfall, unix, windows, jira, ms office, excel, visio, ios, etl, informatica, ssis",27
"R_51",NA,13,"Lead","java, python, javascript, go, perl, ruby, r, html, html5, css, css3, less, xml, json, ajax, rest, soap, angular, angularjs, node, jquery, backbone, ember, spring, spring boot, spring mvc, hibernate, jpa, struts, jsf, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, db2, aws, s3, cloud foundry, jenkins, travis ci, git, github, junit, testng, selenium, cucumber, jasmine, mockito, protractor, maven, gradle, ant, grunt, pig, kafka, adobe experience manager, agile, scrum, tdd, bdd, microservices, soa, rest api, linux, unix, windows, jira, excel, soapui, splunk, ios, ssis, soap ui, apache cxf, jersey",80
"R_52",NA,17,"Lead","java, javascript, c\+\+, scala, groovy, go, php, perl, ruby, r, html, html5, css, css3, less, xml, json, ajax, rest, soap, angular, angularjs, node, express, jquery, backbone, ember, spring, spring boot, spring mvc, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, oracle, sql server, mongodb, cassandra, redis, hbase, elasticsearch, db2, aws, ec2, s3, lambda, docker, jenkins, bamboo, git, svn, junit, selenium, mockito, maven, ant, hadoop, spark, hive, kafka, hbase, sqoop, flume, agile, tdd, microservices, soa, linux, unix, windows, solaris, aix, jira, excel, jersey",80
"R_53",NA,NA,"Unknown","java, javascript, c\+\+, scala, groovy, go, perl, r, shell scripting, html, html5, css, css3, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, backbone, ember, dojo, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, hbase, db2, aws, ec2, s3, lambda, cloud foundry, docker, kubernetes, jenkins, bamboo, git, svn, clearcase, junit, testng, selenium, cucumber, jasmine, mockito, protractor, karma, maven, gradle, ant, grunt, kafka, hbase, aem, agile, scrum, waterfall, tdd, microservices, soa, rest api, linux, unix, windows, jira, postman, splunk, nlp, soap ui, mule esb, jersey",94
"R_54",NA,6,"Senior","java, javascript, typescript, c\+\+, scala, go, php, ruby, r, html, html5, css, css3, sass, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, jquery, backbone, ember, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, dynamodb, db2, aws, ec2, s3, docker, jenkins, git, junit, selenium, cucumber, jasmine, protractor, karma, maven, ant, npm, spark, agile, scrum, tdd, bdd, soa, rest api, linux, windows, mac os, ms office, excel, android, ios, jersey",77
"R_55",NA,NA,"Unknown","java, javascript, scala, groovy, go, r, html, html5, css, css3, less, xml, json, ajax, rest, soap, react, angular, angularjs, node, jquery, backbone, ember, knockout, dojo, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, dynamodb, hbase, db2, aws, ec2, s3, jenkins, git, github, svn, junit, maven, gradle, ant, hbase, agile, scrum, waterfall, tdd, soa, rest api, linux, unix, windows, jira, visio, splunk, ssis, soap ui, apache cxf, jersey",74
"R_56",NA,15,"Lead","java, javascript, go, r, html, html5, css, css3, less, xml, json, ajax, rest, soap, angular, angularjs, node, nodejs, express, jquery, backbone, ember, spring, spring boot, spring mvc, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, oracle, sql server, mongodb, cassandra, aws, ec2, s3, lambda, jenkins, git, github, svn, junit, maven, ant, hive, agile, scrum, waterfall, soa, rest api, linux, unix, windows, visio, ios, soap ui, mule esb, jersey",64
"R_57",NA,11,"Lead","java, javascript, groovy, go, r, shell scripting, html, html5, css, css3, xml, json, ajax, rest, soap, angular, angularjs, node, nodejs, jquery, spring, spring boot, spring mvc, spring security, hibernate, struts, jsf, ejb, jsp, servlet, mybatis, apache camel, sql, mysql, postgresql, oracle, sql server, mongodb, cassandra, redis, db2, teradata, aws, ec2, s3, cloud foundry, docker, kubernetes, jenkins, git, github, svn, mercurial, junit, maven, ant, agile, scrum, tdd, soa, linux, unix, windows, solaris, jira, excel, visio, soap ui",68
"R_58",NA,35,"Lead","go, r, html, html5, css, rest, ember, sql, oracle, db2, ant, hadoop, mapreduce, agile, scrum, waterfall, jira, ms office, excel, visio, etl, informatica",22
"R_59",NA,10,"Lead","java, python, go, r, html, xml, rest, soap, express, ember, spring, spring boot, spring security, hibernate, jpa, struts, jsp, servlet, apache camel, sql, mysql, oracle, mongodb, cassandra, redis, elasticsearch, db2, aws, ec2, cloud foundry, docker, kubernetes, jenkins, git, github, svn, junit, testng, cucumber, mockito, maven, gradle, ant, spark, kafka, jasper reports, agile, ci/cd, tdd, bdd, soa, unix, jira, confluence, splunk, mule esb, apache cxf, jersey",58
"R_60",NA,8,"Lead","java, javascript, typescript, go, perl, r, html, html5, css, css3, sass, xml, json, ajax, rest, soap, react, reactjs, angular, angularjs, node, nodejs, express, jquery, extjs, spring, spring boot, spring mvc, spring security, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, sql, mysql, oracle, sql server, mongodb, cassandra, aws, ec2, s3, cloud foundry, docker, jenkins, git, svn, clearcase, junit, testng, selenium, maven, gradle, ant, npm, hadoop, spark, kafka, ssrs, agile, scrum, waterfall, tdd, microservices, soa, rest api, linux, unix, windows, red hat, solaris, aix, visio, ssis, soap ui, jersey",80
"R_61",NA,15,"Lead","java, python, javascript, scala, groovy, go, php, perl, r, shell scripting, html, html5, css, css3, less, xml, json, ajax, rest, soap, angular, angularjs, node, nodejs, express, jquery, extjs, spring, spring mvc, hibernate, jpa, struts, jsf, ejb, jsp, servlet, apache camel, django, sql, mysql, oracle, sql server, mongodb, cassandra, hbase, db2, aws, ec2, s3, cloudfront, jenkins, ansible, git, svn, junit, testng, selenium, maven, ant, grunt, hadoop, spark, hive, kafka, hbase, mapreduce, crystal reports, agile, scrum, waterfall, devops, tdd, microservices, soa, rest api, linux, unix, windows, red hat, jira, excel, visio, soapui, splunk, etl, ssis, data warehouse, jersey",88
